,event,type
621,2019_UCI_World_Tour,sport
622,2019_WTA_Tour,sport
623,2019_Winter_Universiade,sport
624,2019_World_Athletics_Championships,sport
625,2019_World_Para_Athletics_Championships,sport
626,2019_World_Rowing_Championships,sport
627,2019–20_ISU_Challenger_Series,sport
628,2019–20_snooker_season,sport
629,2020_Summer_Olympics,sport
630,2020_UCI_World_Tour,sport
631,2020_United_States_House_of_Representatives_elections,political
632,2020_United_States_presidential_election,political
633,2020_Winter_Youth_Olympics,sport
634,ATP_Finals,sport
635,ATP_International_Series,sport
636,ATP_International_Series_Gold,sport
637,ATP_Masters_Series,sport
638,Advantage_Cars_Prague_Open,sport
639,African_Cup_Winners'_Cup,sport
640,African_theatre_of_World_War_I,historical
641,Al-Aqsa_Intifada,historical
642,Al-Qaeda_insurgency_in_Yemen,historical
643,Algerian_War,historical
644,All-Japan_Sports_Prototype_Championship,sport
645,All_Japan_Grand_Touring_Car_Championship,sport
646,Alpine_skiing_at_the_1988_Winter_Olympics,sport
647,Alpine_skiing_at_the_1992_Winter_Olympics,sport
648,Alpine_skiing_at_the_1994_Winter_Olympics,sport
649,Alpine_skiing_at_the_1998_Winter_Olympics,sport
650,Alpine_skiing_at_the_2002_Winter_Olympics,sport
651,Alpine_skiing_at_the_2006_Winter_Olympics,sport
652,Alpine_skiing_at_the_2010_Winter_Olympics,sport
653,Alpine_skiing_at_the_2014_Winter_Olympics,sport
654,Alpine_skiing_at_the_2014_Winter_Paralympics,sport
655,Alpine_skiing_at_the_2015_Winter_Universiade,sport
656,Alpine_skiing_at_the_2018_Winter_Olympics,sport
657,American_Civil_War,historical
658,American_Indian_Wars,historical
659,American_Revolutionary_War,historical
660,American_Soccer_League_(1933–1983),sport
661,Anglo-French_War_(1778–1783),historical
662,Anglo-Mysore_Wars,historical
663,Anglo-Spanish_War_(1585–1604),historical
664,Apache_Wars,historical
665,Arab_Cold_War,historical
666,Arab_Spring,historical
667,Arab_Winter,historical
668,Arab–Byzantine_wars,historical
669,Arab–Israeli_conflict,historical
670,Archery_at_the_1920_Summer_Olympics,sport
671,Argentine_Civil_Wars,historical
672,Argentine_War_of_Independence,historical
673,Athletics_at_the_1896_Summer_Olympics,sport
674,Athletics_at_the_1900_Summer_Olympics,sport
675,Athletics_at_the_1904_Summer_Olympics,sport
676,Athletics_at_the_1908_Summer_Olympics,sport
677,Athletics_at_the_1912_Summer_Olympics,sport
678,Athletics_at_the_1920_Summer_Olympics,sport
679,Athletics_at_the_1924_Summer_Olympics,sport
680,Athletics_at_the_1928_Summer_Olympics,sport
681,Athletics_at_the_1932_Summer_Olympics,sport
682,Athletics_at_the_1936_Summer_Olympics,sport
683,Athletics_at_the_1948_Summer_Olympics,sport
684,Athletics_at_the_1952_Summer_Olympics,sport
685,Athletics_at_the_1956_Summer_Olympics,sport
686,Athletics_at_the_1960_Summer_Olympics,sport
687,Athletics_at_the_1962_British_Empire_and_Commonwealth_Games,sport
688,Athletics_at_the_1964_Summer_Olympics,sport
689,Athletics_at_the_1968_Summer_Olympics,sport
690,Athletics_at_the_1972_Summer_Olympics,sport
691,Athletics_at_the_1976_Summer_Olympics,sport
